Attribute,Commodity,CommodityType,Units,YearType,Year,Value
Harvested acres,Rice,Crops,Thousand acres,Market year,2019/20,2472
Planted acres,Rice,Crops,Thousand acres,Market year,2019/20,2540
Harvested acres,Corn,Crops,Million acres,Market year,2030/31,81.5
Harvested acres,Upland Cotton,Crops,Million acres,Market year,2019/20,11.4
Harvested acres,Oats,Crops,Million acres,Market year,2019/20,0.8
Harvested acres,Sorghum,Crops,Million acres,Market year,2019/20,4.7
Harvested acres,Sorghum,Crops,Million acres,Market year,2020/21,5
Harvested acres,Wheat,Crops,Million acres,Market year,2019/20,37.4
Harvested acres,Wheat,Crops,Million acres,Market year,2020/21,36.7
Harvested acres,Wheat,Crops,Million acres,Market year,2021/22,38.5
Planted acres,Barley,Crops,Million acres,Market year,2019/20,2.8
Planted acres,Barley,Crops,Million acres,Market year,2020/21,2.6
Planted acres,Corn,Crops,Million acres,Market year,2019/20,89.7
Planted acres,Corn,Crops,Million acres,Market year,2020/21,91
Planted acres,Corn,Crops,Million acres,Market year,2021/22,90
Planted acres,Upland Cotton,Crops,Million acres,Market year,2019/20,13.5
Planted acres,Oats,Crops,Million acres,Market year,2019/20,2.8
Planted acres,Oats,Crops,Million acres,Market year,2020/21,3
Planted acres,Oats,Crops,Million acres,Market year,2021/22,2.9
Planted acres,Sorghum,Crops,Million acres,Market year,2019/20,5.3
Planted acres,Sorghum,Crops,Million acres,Market year,2020/21,5.8
Planted acres,Soybeans,Crops,Million acres,Market year,2019/20,76.1
Planted acres,Soybeans,Crops,Million acres,Market year,2020/21,83.1
Planted acres,Wheat,Crops,Million acres,Market year,2019/20,45.5
Planted acres,Wheat,Crops,Million acres,Market year,2020/21,44.3
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2019,293.6
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2020,285
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,58.1
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,58.8
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,95.1
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,96.4
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,1.1
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,111.9
